epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,168.131,0.58728,0.45465,0.92937,0.95589,0.92807,0.984,0.8876,0.49355,0.305,0.88983,0.000215774,0.000215774,0.000215774
43,171.664,0.46027,0.34971,0.88051,0.96833,0.91936,0.96585,0.86952,0.49045,0.31174,0.89196,0.000204769,0.000204769,0.000204769
44,174.977,0.45379,0.34463,0.86231,0.96319,0.91945,0.96579,0.87033,0.47767,0.31623,0.88774,0.000193763,0.000193763,0.000193763
45,178.174,0.46751,0.35987,0.88482,0.96865,0.91349,0.96861,0.86537,0.48407,0.3195,0.88633,0.000182758,0.000182758,0.000182758
46,182.302,0.44265,0.37502,0.88742,0.97183,0.91956,0.96904,0.87647,0.48243,0.30906,0.88527,0.000171752,0.000171752,0.000171752
47,185.496,0.43612,0.33386,0.87647,0.97587,0.92575,0.97236,0.87394,0.46357,0.28545,0.88196,0.000160747,0.000160747,0.000160747
48,188.997,0.44332,0.32343,0.87733,0.96618,0.93206,0.97541,0.87942,0.4795,0.28778,0.89342,0.000149741,0.000149741,0.000149741
49,192.148,0.53973,0.55066,1.00359,0.96366,0.93324,0.97581,0.88164,0.4742,0.28959,0.89265,0.000138736,0.000138736,0.000138736
50,196.347,0.43763,0.34725,0.88314,0.95588,0.95166,0.98674,0.87941,0.47631,0.28777,0.89111,0.000127731,0.000127731,0.000127731
51,201.455,0.36763,0.28275,0.82144,0.97777,0.92564,0.98466,0.89133,0.48313,0.2932,0.89378,0.000116725,0.000116725,0.000116725
52,205.557,0.43644,0.83807,0.84022,0.97297,0.93842,0.98597,0.88344,0.50779,0.30464,0.9023,0.00010572,0.00010572,0.00010572
53,209.26,0.35905,0.30496,0.83079,0.97671,0.9354,0.98643,0.8847,0.48616,0.30284,0.89346,9.4714e-05,9.4714e-05,9.4714e-05
54,212.542,0.38027,0.28662,0.85549,0.96081,0.94444,0.98449,0.88926,0.47531,0.30404,0.88442,8.37085e-05,8.37085e-05,8.37085e-05
55,215.751,0.34554,0.26314,0.81703,0.96869,0.93888,0.98657,0.88768,0.47125,0.29662,0.88207,7.2703e-05,7.2703e-05,7.2703e-05
56,219.698,0.34623,0.26149,0.82718,0.98116,0.93861,0.98612,0.88901,0.47653,0.30131,0.88365,6.16975e-05,6.16975e-05,6.16975e-05
57,223.748,0.34361,0.24912,0.82399,0.9789,0.93901,0.98597,0.88811,0.47338,0.30539,0.88081,5.0692e-05,5.0692e-05,5.0692e-05
58,227.054,0.39171,0.31447,0.78529,0.97425,0.93915,0.98612,0.89284,0.47073,0.30318,0.87929,3.96865e-05,3.96865e-05,3.96865e-05
59,230.348,0.36278,0.2722,0.83755,0.97314,0.9379,0.98612,0.89317,0.46874,0.30172,0.87854,2.8681e-05,2.8681e-05,2.8681e-05
60,234.309,0.31981,0.23529,0.8069,0.97443,0.93723,0.98597,0.89312,0.46975,0.30677,0.87984,1.76755e-05,1.76755e-05,1.76755e-05
